"doc_id","nppes_provider_city","nppes_provider_state","number_of_hcpcs","total_services","total_medicare_allowed_amt","number_of_drug_hcpcs","total_drug_services","total_drug_medicare_allowed_amt","number_of_med_hcpcs","total_med_services","total_med_medicare_allowed_amt","beneficiary_average_risk_score","top_hcpcs_code_1","top_hcpcs_code_2","top_hcpcs_code_3","top_hcpcs_code_diff_submitted_received_amt_1","top_hcpcs_code_diff_submitted_received_amt_2","top_hcpcs_code_diff_submitted_received_amt_3"
"CM5301795","ARLINGTON","TX",9,727,114265.97,0,0,0,9,727,114265.97,2.1528,"99222","99223","99232",0.3214328,0.3196731,0.3166486
"XT5855950","PORT JEFFERSON","NY",18,801,96955.65,0,0,0,18,801,96955.65,2.1485,"99223","99232","99285",0.2645317,0.2625007,0.2612842
"AN1214365","DAVIS","CA",29,902,73461.2,NA,NA,NA,NA,NA,NA,1.9641,"99222","99223","99232",0.3185143,0.3177929,0.3168402
"KI0892691","NAPLES","FL",22,286,46723.99,NA,NA,NA,NA,NA,NA,1.4325,"99354","99214","99205",0.588,0.5259475,0.5226787
"DR6363913","GREENVILLE","SC",47,29196,338336.78,7,28079,200633.99,40,1117,137702.79,1.6583,"64643","64616","99239",0.4157055,0.3737795,0.3697248
"LI5484583","SEATTLE","WA",19,352,47340.43,0,0,0,19,352,47340.43,1.3572,"99222","99232","99233",0.3428877,0.3377711,0.3299885
"JC8092854","PEORIA","IL",22,1293,167046.97,0,0,0,22,1293,167046.97,1.6998,"99238","99239","99233",0.3433875,0.3427,0.3396568
"TQ3105651","NEWARK","DE",17,762,108726.21,0,0,0,17,762,108726.21,2.0395,"99232","99233","99223",0.3644036,0.3618541,0.356912
"TP4256275","PITTSBURGH","PA",17,389,42979.31,0,0,0,17,389,42979.31,1.7761,"99215","99213","99214",0.3964493,0.380393,0.3502427
"OH4026307","NASHVILLE","TN",15,212,24710.06,0,0,0,15,212,24710.06,1.2734,"99232","99215","99205",0.3310507,0.2692309,0.2496198
"EA6841219","DURHAM","NC",31,811,94733.3,0,0,0,31,811,94733.3,1.4629,"99223","99232","99233",0.7478986,0.7382783,0.7313462
"DC9508212","COLUMBIA","MO",35,919,100400.5,0,0,0,35,919,100400.5,1.776,"99204","99220","99217",0.3682942,0.3509005,0.340566
"QK6021344","HOUSTON","TX",27,1228,137414.02,0,0,0,27,1228,137414.02,2.1403,"99226","99231","99223",0.4876819,0.4072718,0.4063825
"QO0210176","ALBUQUERQUE","NM",19,85,10552.25,0,0,0,19,85,10552.25,1.2668,"99203",NA,NA,0.4798108,NA,NA
"KP6453360","CHICAGO","IL",22,835,93350.83,0,0,0,22,835,93350.83,1.4972,"99213","99214","99215",0.701931,0.554928,0.5239054
"QA2693488","CHICAGO","IL",27,7816,237958.76,2,6460,37531.41,25,1356,200427.35,2.34,"J0585","99214","99215",0.5389188,0.5056289,0.4869437
"KF6623565","SAN ANTONIO","TX",27,3136,141609.67,NA,NA,NA,NA,NA,NA,1.6887,"99232","99223","95886",0.4217961,0.3969581,0.3963688
"WH3230368","PHILADELPHIA","PA",31,43667,397614.27,3,42535,249994.74,28,1132,147619.53,1.5149,"99223","99205","99215",0.5496091,0.4730621,0.439288
"VT7994514","LEBANON","NH",35,582,56419.24,0,0,0,35,582,56419.24,1.4044,"99205","99215","99204",0.5716536,0.5580466,0.5566177
"WR2187476","BAYSIDE","NY",48,20858,834141.77,1,17200,94435.9,47,3658,739705.87,1.3125,"92548","97110","99213",0.784,0.6844681,0.6530573
"RA3640074","PHILADELPHIA","PA",19,424,67236.34,0,0,0,19,424,67236.34,1.8804,"99214","99223","99204",0.4644993,0.4594159,0.4541219
"XZ8826672","QUINCY","IL",51,18197,294239.09,1,16600,91013,50,1597,203226.09,1.5657,"J0585","99213","95908",0.4314625,0.311217,0.3101107
"BW6151625","ALBANY","NY",24,1692,70610.18,NA,NA,NA,NA,NA,NA,1.4394,"99212","99204","99205",0.3369348,0.3237532,0.3237376
"YP9858950","HARLINGEN","TX",14,705,57528.68,0,0,0,14,705,57528.68,1.6652,"99212","99203","99213",0.6612245,0.5014246,0.5007436
"HB2665851","SACRAMENTO","CA",42,4004,175174.49,5,2733,14553.06,37,1271,160621.43,1.6572,"95913","95911","95910",0.6659416,0.2918976,0.287823
"ZY0107900","SHERMAN OAKS","CA",13,1579,211926.45,0,0,0,13,1579,211926.45,2.2611,"99232","99233","99223",0.30155,0.2894835,0.2769265
"WA1389325","DALLAS","TX",26,8990,134724.36,3,8288,41296.66,23,702,93427.7,1.565,"99232","99222","99354",0.3083243,0.3056471,0.2982247
"TI4927049","SAN LUIS OBISPO","CA",21,123,15218.77,0,0,0,21,123,15218.77,1.3535,"99203","99214","99205",0.3445882,0.3444706,0.3428074
